"Площадь, м²",Комнаты,Местоположение,Состояние,Тип дома,Этаж,Год постройки,Потолки,Цена
32.8,1.0,1,4,2,19,2022.0,2.86,19000000
48.0,1.0,1,4,2,27,2015.0,2.86,25000000
42.0,1.0,1,0,2,23,2016.0,2.86,22100000
47.0,1.0,1,4,2,27,2010.0,2.86,23200000
26.4,1.0,1,4,2,11,2023.0,2.86,16800000
26.4,1.0,1,4,2,11,2023.0,2.86,16800000
65.0,2.0,1,0,2,0,2017.0,2.86,29000000
45.0,1.0,1,0,2,29,2018.0,2.86,26000000
74.7,3.0,1,4,2,23,2017.0,2.86,35000000
52.0,2.0,1,0,2,0,2017.0,2.86,28000000
59.0,2.0,1,4,2,19,2019.0,2.86,34990000
44.8,1.0,1,4,2,28,2018.0,2.86,26000000
42.0,1.0,1,0,2,26,2018.0,2.86,25500000
39.4,1.0,1,4,2,26,2018.0,2.86,24500000
42.0,1.0,1,4,2,28,2017.0,2.86,24000000
63.0,3.0,1,4,2,0,2019.0,2.86,32000000
58.7,2.0,1,4,2,1,2019.0,2.86,29500000
38.0,1.0,1,4,2,3,2019.0,2.86,22000000
64.0,2.0,1,4,2,23,2015.0,2.86,27000000
38.0,1.0,1,4,2,26,2013.0,2.86,23000000
45.0,1.0,1,4,2,24,2018.0,2.86,26500000
54.7,2.0,1,4,2,27,2017.0,2.86,32500000
44.1,1.0,1,4,2,28,2015.0,2.86,23900000
42.5,1.0,1,4,2,27,2014.0,2.86,26800000
71.4,3.0,1,4,2,28,2021.0,2.86,55000000
45.0,1.0,1,4,2,19,2013.0,2.86,19800000
45.0,1.0,1,4,2,27,2013.0,2.86,19500000
37.0,1.0,1,4,2,3,2018.0,2.86,22800000
63.0,2.0,1,0,2,28,2011.0,2.86,32500000
37.0,1.0,1,4,2,3,2018.0,2.86,22800000
41.0,1.0,1,4,2,26,2016.0,2.86,21000000
45.0,1.0,1,4,2,19,2011.0,2.86,25500000
46.0,2.0,1,4,2,24,2011.0,2.86,26000000
36.0,1.0,1,0,2,19,2019.0,2.8,22000000
37.0,1.0,1,4,2,3,2019.0,2.86,21800000
35.0,1.0,1,4,2,26,2019.0,2.86,25000000
73.9,3.0,1,4,2,23,2014.0,2.86,36200000
